_t:model,_t:_cons,/:gamma,_t:60.AC,_t:61.AC,_t:62.AC,_t:63.AC,_t:64.AC,_t:65b.AC,_t:1926.coh,_t:1930.coh,_t:1935.coh,_t:1940b.coh,_t:1945.coh,_t:1950.coh,_t:0b.dis_d,_t:1.dis_d,_t:0b.SEX,_t:1.SEX,_t:0b.imm_d,_t:1.imm_d,_t:0b.mrt,_t:1.mrt,_t:2.mrt,_t:1.p_lvl,_t:2.p_lvl,_t:3b.p_lvl,_t:4.p_lvl,_t:5.p_lvl,_t:0.pp_lvl,_t:1.pp_lvl,_t:2.pp_lvl,_t:3b.pp_lvl,_t:4.pp_lvl,_t:5.pp_lvl
b1,0.0070384,0.1126154,1.092892,1.029023,1.040198,1.010678,1.050227,1,1.213443,1.114559,1.022114,1,0.9649538,0.9309005,1,1.962717,,,,,,,,,,,,,,,,,,
se1,0.0000898,0.0006328,0.0105176,0.0127549,0.0149679,0.0158703,0.016728,.,0.015645,0.0133354,0.0123021,.,0.0144076,0.0217163,.,0.0236637,,,,,,,,,,,,,,,,,,
b2,0.0050193,0.1151227,1.143737,1.055005,1.077806,1.050681,1.090197,1,1.162789,1.084246,1.011521,1,0.9771896,0.9487782,1,1.886636,1,1.673778,,,,,,,,,,,,,,,,
se2,0.0000692,0.0006347,0.011012,0.013064,0.0155107,0.0164985,0.0173659,.,0.0149942,0.0129755,0.0121758,.,0.0145922,0.0221383,.,0.0227245,.,0.0123385,,,,,,,,,,,,,,,,
b3,0.006266,0.1158606,1.107455,1.034941,1.05774,1.036986,1.079189,1,1.153263,1.083997,1.015209,1,0.9746002,0.9431315,1,1.845746,1,1.767659,1,0.7530185,1,0.7477444,0.9416074,,,,,,,,,,,
se3,0.0000926,0.0006351,0.0107456,0.0128605,0.0152598,0.01632,0.0172185,.,0.014881,0.0129737,0.0122211,.,0.0145536,0.0220077,.,0.0222933,.,0.0133552,.,0.0101933,.,0.0061257,0.0261337,,,,,,,,,,,
b4,0.0056776,0.1162374,1.115344,1.040113,1.063278,1.042528,1.089358,1,1.142571,1.080264,1.016474,1,0.9746444,0.941511,1,1.859657,1,1.957169,1,0.7277815,1,0.7550081,1.091971,1.292211,1.061376,1,0.9275195,0.8838312,,,,,,
se4,0.0000952,0.0006352,0.0108447,0.0129493,0.0153516,0.0164127,0.0173854,.,0.0147568,0.0129336,0.012235,.,0.014554,0.0219701,.,0.0225968,.,0.0159617,.,0.0098837,.,0.0061684,0.0308766,0.0147932,0.0117548,.,0.0101113,0.0100037,,,,,,
b5,0.0050878,0.1180944,1.125327,1.042773,1.066493,1.03653,1.048721,1,1.173189,1.094715,1.017693,1,0.967176,0.8772361,1,1.778348,1,1.876737,1,0.712177,1,0.8087479,1.018762,1.042689,0.9538378,1,1.013566,0.9935462,1.577287,1.06118,1.022584,1,0.9729324,0.7471243
se5,0.000095,0.0006365,0.0109431,0.0129575,0.0154012,0.0163117,0.0167445,.,0.0151568,0.0131147,0.0122499,.,0.0144447,0.0205036,.,0.0216286,.,0.0154238,.,0.0096726,.,0.0066993,0.0289158,0.0126102,0.0107571,.,0.0112578,0.0115973,0.0191732,0.0141972,0.0135454,.,0.0128156,0.0103356
N,330645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_fail,81665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
